run_id,algorithm,task,seed,total_timesteps,final_model,eval_return_mean,eval_return_std,eval_success_rate,_path,_source,eval_max_open_mean,eval_final_open_mean,eval_min_dist_mean,eval_final_dist_mean,eval_valid_dist_count,eval_steps_near_10cm_mean,eval_steps_near_5cm_mean,resumed_from,start_timesteps,end_timesteps,eval_open_delta_positive_steps_mean,eval_open_delta_sum_mean,eval_hover_without_open_mean,eval_grasp_mean,cumulative_end,phase
OpenCabinet_a2c_seed0_20260503_031027,A2C,OpenCabinet,0,500000,checkpoints/OpenCabinet_a2c_seed0_20260503_031027/final_model.zip,12.45947048121979,2.0498693239082875,0.0,cluster_results\outputs\OpenCabinet_a2c_seed0_20260503_031027\train_summary.json,cluster,,,,,,,,,,,,,,,500000,Cluster (SLURM)
OpenCabinet_ppo_seed0_20260502_124604,PPO,OpenCabinet,0,500000,checkpoints/OpenCabinet_ppo_seed0_20260502_124604/final_model.zip,16.561057949559803,8.369632984327987,0.0,cluster_results\outputs\OpenCabinet_ppo_seed0_20260502_124604\train_summary.json,cluster,,,,,,,,,,,,,,,500000,Cluster (SLURM)
OpenCabinet_sac_seed0_20260502_130545,SAC,OpenCabinet,0,500000,checkpoints/OpenCabinet_sac_seed0_20260502_130545/final_model.zip,0.845575894174212,0.5758339120086068,0.0,cluster_results\outputs\OpenCabinet_sac_seed0_20260502_130545\train_summary.json,cluster,,,,,,,,,,,,,,,500000,Cluster (SLURM)
OpenCabinet_a2c_seed0_20260406_021437,A2C,OpenCabinet,0,40000,checkpoints\OpenCabinet_a2c_seed0_20260406_021437\final_model.zip,0.0,0.0,0.0,outputs\OpenCabinet_a2c_seed0_20260406_021437\train_summary.json,local,,,,,,,,,,,,,,,40000,Local
OpenCabinet_a2c_seed0_20260406_181608,A2C,OpenCabinet,0,40000,checkpoints\OpenCabinet_a2c_seed0_20260406_181608\final_model.zip,8.358280468195769,3.927967746700838,0.0,outputs\OpenCabinet_a2c_seed0_20260406_181608\train_summary.json,local,,,,,,,,,,,,,,,40000,Local
OpenCabinet_ppo_seed0_20260405_230501,PPO,OpenCabinet,0,40000,checkpoints\OpenCabinet_ppo_seed0_20260405_230501\final_model.zip,0.0,0.0,0.0,outputs\OpenCabinet_ppo_seed0_20260405_230501\train_summary.json,local,,,,,,,,,,,,,,,40000,Local
OpenCabinet_ppo_seed0_20260406_144431,PPO,OpenCabinet,0,40000,checkpoints\OpenCabinet_ppo_seed0_20260406_144431\final_model.zip,21.662621153338385,8.799588025078105,0.0,outputs\OpenCabinet_ppo_seed0_20260406_144431\train_summary.json,local,,,,,,,,,,,,,,,40000,Local
OpenCabinet_ppo_seed0_20260505_150120,PPO,OpenCabinet,0,50000,checkpoints\OpenCabinet_ppo_seed0_20260505_150120\final_model.zip,15.076240018099256,5.072742940800167,0.0,outputs\OpenCabinet_ppo_seed0_20260505_150120\train_summary.json,local,0.005457701025385295,0.0012009692204458726,0.0,0.7970109358429909,,,,,,,,,,,50000,Local
OpenCabinet_ppo_seed0_20260505_175101,PPO,OpenCabinet,0,10000,checkpoints\OpenCabinet_ppo_seed0_20260505_175101\final_model.zip,18.01358147882704,7.175364238564559,0.0,outputs\OpenCabinet_ppo_seed0_20260505_175101\train_summary.json,local,0.006758105904890246,0.0012760149474104125,0.3013026498258114,0.5542931824922561,20.0,,,,,,,,,,10000,Local
OpenCabinet_ppo_seed0_20260505_180354,PPO,OpenCabinet,0,500000,checkpoints\OpenCabinet_ppo_seed0_20260505_180354\final_model.zip,61.04725018848421,17.185593243097813,0.0,outputs\OpenCabinet_ppo_seed0_20260505_180354\train_summary.json,local,0.0005266443377375362,-0.0008652217071703485,0.0910617470741272,0.2670231554657221,20.0,,,,,,,,,,500000,Local — parallel
